,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,Oil,Gas_Prod,Gross_Fluid,Water_Injected,Producer_Well,Water_Injection_Well,total_opex,Perforacion,Facilidades,Abandono,total_capex,VPN_Total,volumen_T_LE_p,Payout
54,54,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1788693.2565,97244.90571904165,50.0
55,55,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1788693.2565,97244.90571904165,50.0
56,56,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1647151.6129,116387.98834591618,50.0
57,57,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1647151.6129,116387.98834591618,50.0
58,58,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,35,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1647151.6129,116387.98834591618,50.0
59,59,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,40,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1647151.6129,116387.98834591618,50.0
60,60,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1647151.6129,116387.98834591618,50.0
61,61,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1647151.6129,116387.98834591618,50.0
62,62,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1647151.6129,116387.98834591618,50.0
63,63,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,60,0.9,1,66871.9352,0,491060.8357,2302685.9596,10660.1223,682.7036,2871961.5563,2139956.2967,1929512.1164,90793.948,4310596.3608,-1647151.6129,116387.98834591618,50.0
