,ID,campo,lst_v,cod_list,reg,E_Brent,opex_pc,capex_pb,VPN_Basica_porta,VPN_incremental_porta,VPN_Basica,VPN_incremental,VPN_Total,EFI_INCREMENTAL,capex,opex_basica,opex_incremental,volumen_B_LE,volumen_I_LE,volumen_T_LE,volumen_B_LE_p,volumen_I_LE_p,volumen_T_LE_p,LE_year_p,LE_year_b,lc_p,lc_b,dc_p,dc_b,opex_ing_p,capex_ing_p,impuesto_ing_p,ingreso_ing_p,abandono_ing_p,opex_ing_b,capex_ing_b,impuesto_ing_b,ingreso_ing_b,abandono_ing_b
37,37,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,50,1,0.8,0,-1414454.0805,0,-1414454.0805,-1414454.0805,0.0,3448477.0887,0,3191068.3959,0.0,87.35241790443628,87.35241790443628,0.0,87.35241790443628,87.35241790443628,2044.0,2044.0,23.4883,23.4883,30.917,30.917,567865.245,1735116.4071,0,895558.7173,7031.1458,567865.245,1735116.4071,0,895558.7173,7031.1458
38,38,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,55,1,0.8,0,-1414454.0805,0,-1303543.4945,-1303543.4945,0.0,3448477.0887,0,3191068.3959,0.0,98.63326144590968,98.63326144590968,0.0,87.35241790443628,87.35241790443628,2044.0,2049.0,23.4883,24.82,30.917,27.381,567865.245,1735116.4071,0,895558.7173,7031.1458,605413.1736,1735116.4071,2303.5232,1043655.3977,4365.7883
39,39,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,0,60,1,0.8,0,-1414454.0805,0,-1196412.0651,-1196412.0651,0.0,3448477.0887,0,3191068.3959,0.0,100.93680076874809,100.93680076874809,0.0,87.35241790443628,87.35241790443628,2044.0,2052.0,23.4883,25.1494,30.917,26.7561,567865.245,1735116.4071,0,895558.7173,7031.1458,611159.1694,1735116.4071,9129.0478,1162272.6406,3280.0814
40,40,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,25,1,0.8,0,-1277524.7761,0,-1624263.6376,-1624263.6376,0.0,3448477.0887,0,3191068.3959,0.0,12.85159808732316,12.85159808732316,0.0,113.4282506627961,113.4282506627961,2049.0,2029.0,24.82,14.7257,27.381,213.6624,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883,90896.526,1596041.5301,0,92045.2592,29370.8408
41,41,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,30,1,0.8,0,-1277524.7761,0,-1711897.2185,-1711897.2185,0.0,3448477.0887,0,3191068.3959,0.0,33.11859852036994,33.11859852036994,0.0,113.4282506627961,113.4282506627961,2049.0,2032.0,24.82,16.4615,27.381,93.7774,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883,219344.4859,1735116.4071,0,264630.4218,22066.7474
42,42,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,35,1,0.8,0,-1277524.7761,0,-1627633.2097,-1627633.2097,0.0,3448477.0887,0,3191068.3959,0.0,55.76738761598577,55.76738761598577,0.0,113.4282506627961,113.4282506627961,2049.0,2035.0,24.82,18.5466,27.381,55.6916,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883,352759.9302,1735116.4071,0,476822.2015,16579.0739
43,43,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,40,1,0.8,0,-1277524.7761,0,-1526349.5068,-1526349.5068,0.0,3448477.0887,0,3191068.3959,0.0,68.45426185922963,68.45426185922963,0.0,113.4282506627961,113.4282506627961,2049.0,2037.0,24.82,19.9292,27.381,45.3701,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883,423845.2103,1735116.4071,0,646313.8246,13701.714
44,44,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,45,1,0.8,0,-1277524.7761,0,-1404663.0821,-1404663.0821,0.0,3448477.0887,0,3191068.3959,0.0,100.45528059010171,100.45528059010171,0.0,113.4282506627961,113.4282506627961,2049.0,2044.0,24.82,23.4883,27.381,30.917,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883,567865.245,1735116.4071,0,905349.7158,7031.1458
45,45,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,50,1,0.8,0,-1277524.7761,0,-1277524.7761,-1277524.7761,0.0,3448477.0887,0,3191068.3959,0.0,113.4282506627961,113.4282506627961,0.0,113.4282506627961,113.4282506627961,2049.0,2049.0,24.82,24.82,27.381,27.381,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883
46,46,MORICHE,1,39384-3-01-00 MORICHE EXPANSION ICV,1,55,1,0.8,0,-1277524.7761,0,-1155312.9759,-1155312.9759,0.0,3448477.0887,0,3191068.3959,0.0,116.38798834591618,116.38798834591618,0.0,113.4282506627961,113.4282506627961,2049.0,2053.0,24.82,25.1941,27.381,26.6847,605413.1736,1735116.4071,3352.721,1070723.3139,4365.7883,611739.9385,1735116.4071,12524.2162,1207049.478,2981.8922
